name,description,is_active
Term Type 1,Description for term type 1 - availability period definition,1
Term Type 2,Description for term type 2 - availability period definition,1
Term Type 3,Description for term type 3 - availability period definition,1
Term Type 4,Description for term type 4 - availability period definition,1
Term Type 5,Description for term type 5 - availability period definition,1
Term Type 6,Description for term type 6 - availability period definition,1
Term Type 7,Description for term type 7 - availability period definition,1
Term Type 8,Description for term type 8 - availability period definition,1
Term Type 9,Description for term type 9 - availability period definition,1
Term Type 10,Description for term type 10 - availability period definition,1
Term Type 11,Description for term type 11 - availability period definition,1
Term Type 12,Description for term type 12 - availability period definition,1
Term Type 13,Description for term type 13 - availability period definition,1
Term Type 14,Description for term type 14 - availability period definition,1
Term Type 15,Description for term type 15 - availability period definition,1
Term Type 16,Description for term type 16 - availability period definition,1
Term Type 17,Description for term type 17 - availability period definition,1
Term Type 18,Description for term type 18 - availability period definition,1
Term Type 19,Description for term type 19 - availability period definition,1
Term Type 20,Description for term type 20 - availability period definition,1
Term Type 21,Description for term type 21 - availability period definition,1
Term Type 22,Description for term type 22 - availability period definition,1
Term Type 23,Description for term type 23 - availability period definition,1
Term Type 24,Description for term type 24 - availability period definition,1
Term Type 25,Description for term type 25 - availability period definition,1
Term Type 26,Description for term type 26 - availability period definition,1
Term Type 27,Description for term type 27 - availability period definition,1
Term Type 28,Description for term type 28 - availability period definition,1
Term Type 29,Description for term type 29 - availability period definition,1
Term Type 30,Description for term type 30 - availability period definition,1
Term Type 31,Description for term type 31 - availability period definition,1
Term Type 32,Description for term type 32 - availability period definition,1
Term Type 33,Description for term type 33 - availability period definition,1
Term Type 34,Description for term type 34 - availability period definition,1
Term Type 35,Description for term type 35 - availability period definition,1
Term Type 36,Description for term type 36 - availability period definition,1
Term Type 37,Description for term type 37 - availability period definition,1
Term Type 38,Description for term type 38 - availability period definition,1
Term Type 39,Description for term type 39 - availability period definition,1
Term Type 40,Description for term type 40 - availability period definition,1
Term Type 41,Description for term type 41 - availability period definition,1
Term Type 42,Description for term type 42 - availability period definition,1
Term Type 43,Description for term type 43 - availability period definition,1
Term Type 44,Description for term type 44 - availability period definition,1
Term Type 45,Description for term type 45 - availability period definition,1
Term Type 46,Description for term type 46 - availability period definition,1
Term Type 47,Description for term type 47 - availability period definition,1
Term Type 48,Description for term type 48 - availability period definition,1
Term Type 49,Description for term type 49 - availability period definition,1
Term Type 50,Description for term type 50 - availability period definition,1
Term Type 51,Description for term type 51 - availability period definition,1
Term Type 52,Description for term type 52 - availability period definition,1
Term Type 53,Description for term type 53 - availability period definition,1
Term Type 54,Description for term type 54 - availability period definition,1
Term Type 55,Description for term type 55 - availability period definition,1
Term Type 56,Description for term type 56 - availability period definition,1
Term Type 57,Description for term type 57 - availability period definition,1
Term Type 58,Description for term type 58 - availability period definition,1
Term Type 59,Description for term type 59 - availability period definition,1
Term Type 60,Description for term type 60 - availability period definition,1
Term Type 61,Description for term type 61 - availability period definition,1
Term Type 62,Description for term type 62 - availability period definition,1
Term Type 63,Description for term type 63 - availability period definition,1
Term Type 64,Description for term type 64 - availability period definition,1
Term Type 65,Description for term type 65 - availability period definition,1
Term Type 66,Description for term type 66 - availability period definition,1
Term Type 67,Description for term type 67 - availability period definition,1
Term Type 68,Description for term type 68 - availability period definition,1
Term Type 69,Description for term type 69 - availability period definition,1
Term Type 70,Description for term type 70 - availability period definition,1
Term Type 71,Description for term type 71 - availability period definition,1
Term Type 72,Description for term type 72 - availability period definition,1
Term Type 73,Description for term type 73 - availability period definition,1
Term Type 74,Description for term type 74 - availability period definition,1
Term Type 75,Description for term type 75 - availability period definition,1
Term Type 76,Description for term type 76 - availability period definition,1
Term Type 77,Description for term type 77 - availability period definition,1
Term Type 78,Description for term type 78 - availability period definition,1
Term Type 79,Description for term type 79 - availability period definition,1
Term Type 80,Description for term type 80 - availability period definition,1
Term Type 81,Description for term type 81 - availability period definition,1
Term Type 82,Description for term type 82 - availability period definition,1
Term Type 83,Description for term type 83 - availability period definition,1
Term Type 84,Description for term type 84 - availability period definition,1
Term Type 85,Description for term type 85 - availability period definition,1
Term Type 86,Description for term type 86 - availability period definition,1
Term Type 87,Description for term type 87 - availability period definition,1
Term Type 88,Description for term type 88 - availability period definition,1
Term Type 89,Description for term type 89 - availability period definition,1
Term Type 90,Description for term type 90 - availability period definition,1
Term Type 91,Description for term type 91 - availability period definition,1
Term Type 92,Description for term type 92 - availability period definition,1
Term Type 93,Description for term type 93 - availability period definition,1
Term Type 94,Description for term type 94 - availability period definition,1
Term Type 95,Description for term type 95 - availability period definition,1
Term Type 96,Description for term type 96 - availability period definition,1
Term Type 97,Description for term type 97 - availability period definition,1
Term Type 98,Description for term type 98 - availability period definition,1
Term Type 99,Description for term type 99 - availability period definition,1
Term Type 100,Description for term type 100 - availability period definition,1
Term Type 101,Description for term type 101 - availability period definition,1
Term Type 102,Description for term type 102 - availability period definition,1
Term Type 103,Description for term type 103 - availability period definition,1
Term Type 104,Description for term type 104 - availability period definition,1
Term Type 105,Description for term type 105 - availability period definition,1
Term Type 106,Description for term type 106 - availability period definition,1
Term Type 107,Description for term type 107 - availability period definition,1
Term Type 108,Description for term type 108 - availability period definition,1
Term Type 109,Description for term type 109 - availability period definition,1
Term Type 110,Description for term type 110 - availability period definition,1
Term Type 111,Description for term type 111 - availability period definition,1
Term Type 112,Description for term type 112 - availability period definition,1
Term Type 113,Description for term type 113 - availability period definition,1
Term Type 114,Description for term type 114 - availability period definition,1
Term Type 115,Description for term type 115 - availability period definition,1
Term Type 116,Description for term type 116 - availability period definition,1
Term Type 117,Description for term type 117 - availability period definition,1
Term Type 118,Description for term type 118 - availability period definition,1
Term Type 119,Description for term type 119 - availability period definition,1
Term Type 120,Description for term type 120 - availability period definition,1
Term Type 121,Description for term type 121 - availability period definition,1
Term Type 122,Description for term type 122 - availability period definition,1
Term Type 123,Description for term type 123 - availability period definition,1
Term Type 124,Description for term type 124 - availability period definition,1
Term Type 125,Description for term type 125 - availability period definition,1
Term Type 126,Description for term type 126 - availability period definition,1
Term Type 127,Description for term type 127 - availability period definition,1
Term Type 128,Description for term type 128 - availability period definition,1
Term Type 129,Description for term type 129 - availability period definition,1
Term Type 130,Description for term type 130 - availability period definition,1
Term Type 131,Description for term type 131 - availability period definition,1
Term Type 132,Description for term type 132 - availability period definition,1
Term Type 133,Description for term type 133 - availability period definition,1
Term Type 134,Description for term type 134 - availability period definition,1
Term Type 135,Description for term type 135 - availability period definition,1
Term Type 136,Description for term type 136 - availability period definition,1
Term Type 137,Description for term type 137 - availability period definition,1
Term Type 138,Description for term type 138 - availability period definition,1
Term Type 139,Description for term type 139 - availability period definition,1
Term Type 140,Description for term type 140 - availability period definition,1
Term Type 141,Description for term type 141 - availability period definition,1
Term Type 142,Description for term type 142 - availability period definition,1
Term Type 143,Description for term type 143 - availability period definition,1
Term Type 144,Description for term type 144 - availability period definition,1
Term Type 145,Description for term type 145 - availability period definition,1
Term Type 146,Description for term type 146 - availability period definition,1
Term Type 147,Description for term type 147 - availability period definition,1
Term Type 148,Description for term type 148 - availability period definition,1
Term Type 149,Description for term type 149 - availability period definition,1
Term Type 150,Description for term type 150 - availability period definition,1
Term Type 151,Description for term type 151 - availability period definition,1
Term Type 152,Description for term type 152 - availability period definition,1
Term Type 153,Description for term type 153 - availability period definition,1
Term Type 154,Description for term type 154 - availability period definition,1
Term Type 155,Description for term type 155 - availability period definition,1
Term Type 156,Description for term type 156 - availability period definition,1
Term Type 157,Description for term type 157 - availability period definition,1
Term Type 158,Description for term type 158 - availability period definition,1
Term Type 159,Description for term type 159 - availability period definition,1
Term Type 160,Description for term type 160 - availability period definition,1
Term Type 161,Description for term type 161 - availability period definition,1
Term Type 162,Description for term type 162 - availability period definition,1
Term Type 163,Description for term type 163 - availability period definition,1
Term Type 164,Description for term type 164 - availability period definition,1
Term Type 165,Description for term type 165 - availability period definition,1
Term Type 166,Description for term type 166 - availability period definition,1
Term Type 167,Description for term type 167 - availability period definition,1
Term Type 168,Description for term type 168 - availability period definition,1
Term Type 169,Description for term type 169 - availability period definition,1
Term Type 170,Description for term type 170 - availability period definition,1
Term Type 171,Description for term type 171 - availability period definition,1
Term Type 172,Description for term type 172 - availability period definition,1
Term Type 173,Description for term type 173 - availability period definition,1
Term Type 174,Description for term type 174 - availability period definition,1
Term Type 175,Description for term type 175 - availability period definition,1
Term Type 176,Description for term type 176 - availability period definition,1
Term Type 177,Description for term type 177 - availability period definition,1
Term Type 178,Description for term type 178 - availability period definition,1
Term Type 179,Description for term type 179 - availability period definition,1
Term Type 180,Description for term type 180 - availability period definition,1
Term Type 181,Description for term type 181 - availability period definition,1
Term Type 182,Description for term type 182 - availability period definition,1
Term Type 183,Description for term type 183 - availability period definition,1
Term Type 184,Description for term type 184 - availability period definition,1
Term Type 185,Description for term type 185 - availability period definition,1
Term Type 186,Description for term type 186 - availability period definition,1
Term Type 187,Description for term type 187 - availability period definition,1
Term Type 188,Description for term type 188 - availability period definition,1
Term Type 189,Description for term type 189 - availability period definition,1
Term Type 190,Description for term type 190 - availability period definition,1
Term Type 191,Description for term type 191 - availability period definition,1
Term Type 192,Description for term type 192 - availability period definition,1
Term Type 193,Description for term type 193 - availability period definition,1
Term Type 194,Description for term type 194 - availability period definition,1
Term Type 195,Description for term type 195 - availability period definition,1
Term Type 196,Description for term type 196 - availability period definition,1
Term Type 197,Description for term type 197 - availability period definition,1
Term Type 198,Description for term type 198 - availability period definition,1
Term Type 199,Description for term type 199 - availability period definition,1
Term Type 200,Description for term type 200 - availability period definition,1
Term Type 201,Description for term type 201 - availability period definition,1
Term Type 202,Description for term type 202 - availability period definition,1
Term Type 203,Description for term type 203 - availability period definition,1
Term Type 204,Description for term type 204 - availability period definition,1
Term Type 205,Description for term type 205 - availability period definition,1
Term Type 206,Description for term type 206 - availability period definition,1
Term Type 207,Description for term type 207 - availability period definition,1
Term Type 208,Description for term type 208 - availability period definition,1
Term Type 209,Description for term type 209 - availability period definition,1
Term Type 210,Description for term type 210 - availability period definition,1
Term Type 211,Description for term type 211 - availability period definition,1
Term Type 212,Description for term type 212 - availability period definition,1
Term Type 213,Description for term type 213 - availability period definition,1
Term Type 214,Description for term type 214 - availability period definition,1
Term Type 215,Description for term type 215 - availability period definition,1
Term Type 216,Description for term type 216 - availability period definition,1
Term Type 217,Description for term type 217 - availability period definition,1
Term Type 218,Description for term type 218 - availability period definition,1
Term Type 219,Description for term type 219 - availability period definition,1
Term Type 220,Description for term type 220 - availability period definition,1
Term Type 221,Description for term type 221 - availability period definition,1
Term Type 222,Description for term type 222 - availability period definition,1
Term Type 223,Description for term type 223 - availability period definition,1
Term Type 224,Description for term type 224 - availability period definition,1
Term Type 225,Description for term type 225 - availability period definition,1
Term Type 226,Description for term type 226 - availability period definition,1
Term Type 227,Description for term type 227 - availability period definition,1
Term Type 228,Description for term type 228 - availability period definition,1
Term Type 229,Description for term type 229 - availability period definition,1
Term Type 230,Description for term type 230 - availability period definition,1
Term Type 231,Description for term type 231 - availability period definition,1
Term Type 232,Description for term type 232 - availability period definition,1
Term Type 233,Description for term type 233 - availability period definition,1
Term Type 234,Description for term type 234 - availability period definition,1
Term Type 235,Description for term type 235 - availability period definition,1
Term Type 236,Description for term type 236 - availability period definition,1
Term Type 237,Description for term type 237 - availability period definition,1
Term Type 238,Description for term type 238 - availability period definition,1
Term Type 239,Description for term type 239 - availability period definition,1
Term Type 240,Description for term type 240 - availability period definition,1
Term Type 241,Description for term type 241 - availability period definition,1
Term Type 242,Description for term type 242 - availability period definition,1
Term Type 243,Description for term type 243 - availability period definition,1
Term Type 244,Description for term type 244 - availability period definition,1
Term Type 245,Description for term type 245 - availability period definition,1
Term Type 246,Description for term type 246 - availability period definition,1
Term Type 247,Description for term type 247 - availability period definition,1
Term Type 248,Description for term type 248 - availability period definition,1
Term Type 249,Description for term type 249 - availability period definition,1
Term Type 250,Description for term type 250 - availability period definition,1
Term Type 251,Description for term type 251 - availability period definition,1
Term Type 252,Description for term type 252 - availability period definition,1
Term Type 253,Description for term type 253 - availability period definition,1
Term Type 254,Description for term type 254 - availability period definition,1
Term Type 255,Description for term type 255 - availability period definition,1
Term Type 256,Description for term type 256 - availability period definition,1
Term Type 257,Description for term type 257 - availability period definition,1
Term Type 258,Description for term type 258 - availability period definition,1
Term Type 259,Description for term type 259 - availability period definition,1
Term Type 260,Description for term type 260 - availability period definition,1
Term Type 261,Description for term type 261 - availability period definition,1
Term Type 262,Description for term type 262 - availability period definition,1
Term Type 263,Description for term type 263 - availability period definition,1
Term Type 264,Description for term type 264 - availability period definition,1
Term Type 265,Description for term type 265 - availability period definition,1
Term Type 266,Description for term type 266 - availability period definition,1
Term Type 267,Description for term type 267 - availability period definition,1
Term Type 268,Description for term type 268 - availability period definition,1
Term Type 269,Description for term type 269 - availability period definition,1
Term Type 270,Description for term type 270 - availability period definition,1
Term Type 271,Description for term type 271 - availability period definition,1
Term Type 272,Description for term type 272 - availability period definition,1
Term Type 273,Description for term type 273 - availability period definition,1
Term Type 274,Description for term type 274 - availability period definition,1
Term Type 275,Description for term type 275 - availability period definition,1
Term Type 276,Description for term type 276 - availability period definition,1
Term Type 277,Description for term type 277 - availability period definition,1
Term Type 278,Description for term type 278 - availability period definition,1
Term Type 279,Description for term type 279 - availability period definition,1
Term Type 280,Description for term type 280 - availability period definition,1
Term Type 281,Description for term type 281 - availability period definition,1
Term Type 282,Description for term type 282 - availability period definition,1
Term Type 283,Description for term type 283 - availability period definition,1
Term Type 284,Description for term type 284 - availability period definition,1
Term Type 285,Description for term type 285 - availability period definition,1
Term Type 286,Description for term type 286 - availability period definition,1
Term Type 287,Description for term type 287 - availability period definition,1
Term Type 288,Description for term type 288 - availability period definition,1
Term Type 289,Description for term type 289 - availability period definition,1
Term Type 290,Description for term type 290 - availability period definition,1
Term Type 291,Description for term type 291 - availability period definition,1
Term Type 292,Description for term type 292 - availability period definition,1
Term Type 293,Description for term type 293 - availability period definition,1
Term Type 294,Description for term type 294 - availability period definition,1
Term Type 295,Description for term type 295 - availability period definition,1
Term Type 296,Description for term type 296 - availability period definition,1
Term Type 297,Description for term type 297 - availability period definition,1
Term Type 298,Description for term type 298 - availability period definition,1
Term Type 299,Description for term type 299 - availability period definition,1
Term Type 300,Description for term type 300 - availability period definition,1
Term Type 301,Description for term type 301 - availability period definition,1
Term Type 302,Description for term type 302 - availability period definition,1
Term Type 303,Description for term type 303 - availability period definition,1
Term Type 304,Description for term type 304 - availability period definition,1
Term Type 305,Description for term type 305 - availability period definition,1
Term Type 306,Description for term type 306 - availability period definition,1
Term Type 307,Description for term type 307 - availability period definition,1
Term Type 308,Description for term type 308 - availability period definition,1
Term Type 309,Description for term type 309 - availability period definition,1
Term Type 310,Description for term type 310 - availability period definition,1
Term Type 311,Description for term type 311 - availability period definition,1
Term Type 312,Description for term type 312 - availability period definition,1
Term Type 313,Description for term type 313 - availability period definition,1
Term Type 314,Description for term type 314 - availability period definition,1
Term Type 315,Description for term type 315 - availability period definition,1
Term Type 316,Description for term type 316 - availability period definition,1
Term Type 317,Description for term type 317 - availability period definition,1
Term Type 318,Description for term type 318 - availability period definition,1
Term Type 319,Description for term type 319 - availability period definition,1
Term Type 320,Description for term type 320 - availability period definition,1
Term Type 321,Description for term type 321 - availability period definition,1
Term Type 322,Description for term type 322 - availability period definition,1
Term Type 323,Description for term type 323 - availability period definition,1
Term Type 324,Description for term type 324 - availability period definition,1
Term Type 325,Description for term type 325 - availability period definition,1
Term Type 326,Description for term type 326 - availability period definition,1
Term Type 327,Description for term type 327 - availability period definition,1
Term Type 328,Description for term type 328 - availability period definition,1
Term Type 329,Description for term type 329 - availability period definition,1
Term Type 330,Description for term type 330 - availability period definition,1
Term Type 331,Description for term type 331 - availability period definition,1
Term Type 332,Description for term type 332 - availability period definition,1
Term Type 333,Description for term type 333 - availability period definition,1
Term Type 334,Description for term type 334 - availability period definition,1
Term Type 335,Description for term type 335 - availability period definition,1
Term Type 336,Description for term type 336 - availability period definition,1
Term Type 337,Description for term type 337 - availability period definition,1
Term Type 338,Description for term type 338 - availability period definition,1
Term Type 339,Description for term type 339 - availability period definition,1
Term Type 340,Description for term type 340 - availability period definition,1
Term Type 341,Description for term type 341 - availability period definition,1
Term Type 342,Description for term type 342 - availability period definition,1
Term Type 343,Description for term type 343 - availability period definition,1
Term Type 344,Description for term type 344 - availability period definition,1
Term Type 345,Description for term type 345 - availability period definition,1
Term Type 346,Description for term type 346 - availability period definition,1
Term Type 347,Description for term type 347 - availability period definition,1
Term Type 348,Description for term type 348 - availability period definition,1
Term Type 349,Description for term type 349 - availability period definition,1
Term Type 350,Description for term type 350 - availability period definition,1
Term Type 351,Description for term type 351 - availability period definition,1
Term Type 352,Description for term type 352 - availability period definition,1
Term Type 353,Description for term type 353 - availability period definition,1
Term Type 354,Description for term type 354 - availability period definition,1
Term Type 355,Description for term type 355 - availability period definition,1
Term Type 356,Description for term type 356 - availability period definition,1
Term Type 357,Description for term type 357 - availability period definition,1
