name,asset_type_name,description
Category 1,Operating assets,Description for category 1
Category 2,Operating assets,Description for category 2
Category 3,Tangible assets,Description for category 3
Category 4,Tangible assets,Description for category 4
Category 5,Tangible assets,Description for category 5
Category 6,Operating assets,Description for category 6
Category 7,Intangible assets,Description for category 7
Category 8,Operating assets,Description for category 8
Category 9,Operating assets,Description for category 9
Category 10,Tangible assets,Description for category 10
Category 11,Operating assets,Description for category 11
Category 12,Tangible assets,Description for category 12
Category 13,Operating assets,Description for category 13
Category 14,Operating assets,Description for category 14
Category 15,Tangible assets,Description for category 15
Category 16,Tangible assets,Description for category 16
Category 17,Operating assets,Description for category 17
Category 18,Intangible assets,Description for category 18
Category 19,Intangible assets,Description for category 19
Category 20,Intangible assets,Description for category 20
Category 21,Intangible assets,Description for category 21
Category 22,Operating assets,Description for category 22
Category 23,Intangible assets,Description for category 23
Category 24,Operating assets,Description for category 24
Category 25,Tangible assets,Description for category 25
Category 26,Operating assets,Description for category 26
Category 27,Intangible assets,Description for category 27
Category 28,Intangible assets,Description for category 28
Category 29,Operating assets,Description for category 29
Category 30,Operating assets,Description for category 30
Category 31,Operating assets,Description for category 31
Category 32,Intangible assets,Description for category 32
Category 33,Intangible assets,Description for category 33
Category 34,Intangible assets,Description for category 34
Category 35,Tangible assets,Description for category 35
Category 36,Tangible assets,Description for category 36
Category 37,Intangible assets,Description for category 37
Category 38,Tangible assets,Description for category 38
Category 39,Intangible assets,Description for category 39
Category 40,Operating assets,Description for category 40
Category 41,Intangible assets,Description for category 41
Category 42,Tangible assets,Description for category 42
Category 43,Operating assets,Description for category 43
Category 44,Tangible assets,Description for category 44
Category 45,Intangible assets,Description for category 45
Category 46,Operating assets,Description for category 46
Category 47,Tangible assets,Description for category 47
Category 48,Tangible assets,Description for category 48
Category 49,Tangible assets,Description for category 49
Category 50,Tangible assets,Description for category 50
Category 51,Tangible assets,Description for category 51
Category 52,Intangible assets,Description for category 52
Category 53,Operating assets,Description for category 53
Category 54,Operating assets,Description for category 54
Category 55,Operating assets,Description for category 55
Category 56,Tangible assets,Description for category 56
Category 57,Operating assets,Description for category 57
Category 58,Operating assets,Description for category 58
Category 59,Tangible assets,Description for category 59
Category 60,Operating assets,Description for category 60
Category 61,Tangible assets,Description for category 61
Category 62,Intangible assets,Description for category 62
Category 63,Intangible assets,Description for category 63
Category 64,Operating assets,Description for category 64
Category 65,Tangible assets,Description for category 65
Category 66,Tangible assets,Description for category 66
Category 67,Operating assets,Description for category 67
Category 68,Intangible assets,Description for category 68
Category 69,Tangible assets,Description for category 69
Category 70,Tangible assets,Description for category 70
Category 71,Intangible assets,Description for category 71
Category 72,Operating assets,Description for category 72
Category 73,Tangible assets,Description for category 73
Category 74,Tangible assets,Description for category 74
Category 75,Tangible assets,Description for category 75
Category 76,Operating assets,Description for category 76
Category 77,Operating assets,Description for category 77
Category 78,Operating assets,Description for category 78
Category 79,Intangible assets,Description for category 79
