name,asset_type_name,category_name,sub_category_name,asset_description,thumbnail_image,asset_details,asset_classification,reading_parameters
Asset Group 001,Tangible assets,Category_001,SubCategory_001,"Description for Asset Group 001, categorized under Category_001.","{""image_url"": ""/uploads/assets/asset_001.jpg"", ""alt_text"": ""Asset Group 001""}","{""brand"": ""Brand_1"", ""model"": ""Model_1"", ""year"": 2021, ""specifications"": {""cpu"": ""Intel i1"", ""ram"": ""12GB"", ""storage"": ""384GB SSD""}}","{""tags"": [""tag1"", ""asset"", ""group""], ""priority"": ""low"", ""usage_type"": ""business""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-61""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 002,Tangible assets,Category_002,SubCategory_002,"Description for Asset Group 002, categorized under Category_002.","{""image_url"": ""/uploads/assets/asset_002.jpg"", ""alt_text"": ""Asset Group 002""}","{""brand"": ""Brand_2"", ""model"": ""Model_2"", ""year"": 2022, ""specifications"": {""cpu"": ""Intel i2"", ""ram"": ""16GB"", ""storage"": ""512GB SSD""}}","{""tags"": [""tag2"", ""asset"", ""group""], ""priority"": ""high"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-62""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 003,Non-operating assets,Category_003,SubCategory_003,"Description for Asset Group 003, categorized under Category_003.","{""image_url"": ""/uploads/assets/asset_003.jpg"", ""alt_text"": ""Asset Group 003""}","{""brand"": ""Brand_3"", ""model"": ""Model_3"", ""year"": 2023, ""specifications"": {""cpu"": ""Intel i3"", ""ram"": ""20GB"", ""storage"": ""640GB SSD""}}","{""tags"": [""tag3"", ""asset"", ""group""], ""priority"": ""high"", ""usage_type"": ""daily""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-63""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 004,Fixed assets,Category_004,SubCategory_004,"Description for Asset Group 004, categorized under Category_004.","{""image_url"": ""/uploads/assets/asset_004.jpg"", ""alt_text"": ""Asset Group 004""}","{""brand"": ""Brand_4"", ""model"": ""Model_4"", ""year"": 2024, ""specifications"": {""cpu"": ""Intel i4"", ""ram"": ""8GB"", ""storage"": ""768GB SSD""}}","{""tags"": [""tag4"", ""asset"", ""group""], ""priority"": ""critical"", ""usage_type"": ""business""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-64""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 005,Non-operating assets,Category_005,SubCategory_005,"Description for Asset Group 005, categorized under Category_005.","{""image_url"": ""/uploads/assets/asset_005.jpg"", ""alt_text"": ""Asset Group 005""}","{""brand"": ""Brand_5"", ""model"": ""Model_5"", ""year"": 2025, ""specifications"": {""cpu"": ""Intel i5"", ""ram"": ""12GB"", ""storage"": ""256GB SSD""}}","{""tags"": [""tag5"", ""asset"", ""group""], ""priority"": ""low"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-65""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 006,Tangible assets,Category_006,SubCategory_006,"Description for Asset Group 006, categorized under Category_006.","{""image_url"": ""/uploads/assets/asset_006.jpg"", ""alt_text"": ""Asset Group 006""}","{""brand"": ""Brand_6"", ""model"": ""Model_6"", ""year"": 2020, ""specifications"": {""cpu"": ""Intel i6"", ""ram"": ""16GB"", ""storage"": ""384GB SSD""}}","{""tags"": [""tag6"", ""asset"", ""group""], ""priority"": ""low"", ""usage_type"": ""business""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-66""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 007,Tangible assets,Category_007,SubCategory_007,"Description for Asset Group 007, categorized under Category_007.","{""image_url"": ""/uploads/assets/asset_007.jpg"", ""alt_text"": ""Asset Group 007""}","{""brand"": ""Brand_7"", ""model"": ""Model_7"", ""year"": 2021, ""specifications"": {""cpu"": ""Intel i7"", ""ram"": ""20GB"", ""storage"": ""512GB SSD""}}","{""tags"": [""tag7"", ""asset"", ""group""], ""priority"": ""low"", ""usage_type"": ""daily""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-67""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 008,Tangible assets,Category_008,SubCategory_008,"Description for Asset Group 008, categorized under Category_008.","{""image_url"": ""/uploads/assets/asset_008.jpg"", ""alt_text"": ""Asset Group 008""}","{""brand"": ""Brand_8"", ""model"": ""Model_8"", ""year"": 2022, ""specifications"": {""cpu"": ""Intel i8"", ""ram"": ""8GB"", ""storage"": ""640GB SSD""}}","{""tags"": [""tag8"", ""asset"", ""group""], ""priority"": ""medium"", ""usage_type"": ""continuous""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-68""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 009,Operating assets,Category_009,SubCategory_009,"Description for Asset Group 009, categorized under Category_009.","{""image_url"": ""/uploads/assets/asset_009.jpg"", ""alt_text"": ""Asset Group 009""}","{""brand"": ""Brand_9"", ""model"": ""Model_9"", ""year"": 2023, ""specifications"": {""cpu"": ""Intel i0"", ""ram"": ""12GB"", ""storage"": ""768GB SSD""}}","{""tags"": [""tag9"", ""asset"", ""group""], ""priority"": ""medium"", ""usage_type"": ""passive""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-69""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
Asset Group 010,Intangible assets,Category_010,SubCategory_010,"Description for Asset Group 010, categorized under Category_010.","{""image_url"": ""/uploads/assets/asset_010.jpg"", ""alt_text"": ""Asset Group 010""}","{""brand"": ""Brand_10"", ""model"": ""Model_10"", ""year"": 2024, ""specifications"": {""cpu"": ""Intel i1"", ""ram"": ""16GB"", ""storage"": ""256GB SSD""}}","{""tags"": [""tag10"", ""asset"", ""group""], ""priority"": ""high"", ""usage_type"": ""daily""}","{""monitoring"": {""temperature"": {""unit"": ""celsius"", ""range"": ""0-70""}, ""usage_hours"": {""unit"": ""hours"", ""tracking"": ""daily""}}}"
