asset_name,asset_type_name,model_number,serial_number,asset_tag,qr_code,item_value,item_value_currency_code,purchase_cost,purchase_cost_currency_code,purchase_type_name,purchase_order_number,other_purchase_details,supplier_data,salvage_value,warranty,warranty_condition_type_name,warranty_expiry_date,warranty_usage_name,warranty_usage_value,insurance_number,insurance_expiry_date,expected_life_time,expected_life_time_unit_name,depreciation_value,depreciation_method_name,depreciation_start_date,decline_rate,total_estimated_units,manufacturer,responsible_person_name,department_name,latitude,longitude,received_condition_id,asset_category_name,asset_sub_category_name,asset_tags
Asset 0001,Tangible assets,LEN-MODEL-00001,SN-0000000001,TAG-000001,,7298.4,GBP,6664.19,LKR,Hire,PO-2025-9285,Purchase details for Asset 0001,"{""name"":""Dell Direct"",""email"":""sales@dell.com"",""type"":""Company""}",951.81,4 years,Usage based,2028-07-15,Days,43391,INS000001,2026-01-28,5,Month,1269.32,Sum of the Years Digits,2025-02-04,36.18,94,Apple Inc.,Chamod Randeni,Negombo test,7.3438,80.0411,5,Network Equipment,Routers,"Hardware,Standard,Reserve"
Asset 0002,Operating assets,CISCO-MODEL-00002,SN-0000000002,TAG-000002,,3581.2,USD,3335.88,LKR,Lease,PO-2025-4259,Purchase details for Asset 0002,"{""name"":""HP Enterprise"",""email"":""enterprise@hp.com"",""type"":""Company""}",369.27,3 years,Time based,2030-01-28,Cycles,2680,INS000002,2028-06-22,4,Hour,802.98,Sum of the Years Digits,2025-09-02,18.97,67,SAP,Chamod Randeni,Negombo test,7.0445,79.6903,2,Tools,Tablets,"Hardware,Standard,Reserve"
Asset 0003,Intangible assets,DELL-MODEL-00003,SN-0000000003,TAG-000003,,9951.52,LKR,8957.24,USD,Rent,PO-2025-2958,Purchase details for Asset 0003,"{""name"":""Dell Direct"",""email"":""sales@dell.com"",""type"":""Company""}",1184.42,2 years,Time based,2028-05-11,Cycles,25716,INS000003,2027-06-13,3,Year,2922.37,Straightline,2024-08-18,18.29,9,Lenovo,Chamod Randeni,Negombo test,6.9362,80.062,5,Network Equipment,Tablets,"Hardware,Standard,Reserve"
Asset 0004,Operating assets,HP-MODEL-00004,SN-0000000004,TAG-000004,,7733.94,EUR,6716.8,USD,Rent,PO-2025-8467,Purchase details for Asset 0004,"{""name"":""Microsoft Corp"",""email"":""business@microsoft.com"",""type"":""Company""}",795.93,1 years,Combined,2027-09-18,Kilometers,10325,INS000004,2027-11-02,5,Month,1387.6,Sum of the Years Digits,2024-04-06,16.36,52,Dell Inc.,Chamod Randeni,Negombo test,6.7179,79.7975,3,Software,Printers,"Hardware,Standard,Reserve"
Asset 0005,Operating assets,DELL-MODEL-00005,SN-0000000005,TAG-000005,,5299.18,LKR,4887.4,USD,Purchase,PO-2025-6180,Purchase details for Asset 0005,"{""name"":""Apple Business"",""email"":""business@apple.com"",""type"":""Company""}",743.78,3 years,Combined,2028-03-15,Cycles,12712,INS000005,2027-09-04,3,Month,1518.47,Declining Balance,2024-10-08,13.0,32,Samsung,ffd,Negombo test,6.836,79.7466,2,Electronics,Printers,"IT,Critical,Active"
Asset 0006,Tangible assets,HP-MODEL-00006,SN-0000000006,TAG-000006,,5489.84,USD,5001.16,EUR,Purchase,PO-2025-9132,Purchase details for Asset 0006,"{""name"":""Microsoft Corp"",""email"":""business@microsoft.com"",""type"":""Company""}",811.58,5 years,Time based,2029-05-01,Kilometers,35117,INS000006,2026-12-31,9,Year,519.81,Straightline,2025-01-06,33.13,32,SAP,ffd,Negombo test,6.797,79.7452,2,Furniture,Tablets,"Hardware,Standard,Reserve"
Asset 0007,Tangible assets,APPLE-MODEL-00007,SN-0000000007,TAG-000007,,7216.65,USD,6581.88,LKR,Rent,PO-2025-3641,Purchase details for Asset 0007,"{""name"":""Tech Solutions Inc"",""email"":""contact@techsolutions.com"",""type"":""Company""}",766.53,1 years,Usage based,2030-05-24,Kilometers,12990,INS000007,2028-05-24,4,Year,1612.53,Sum of the Years Digits,2024-08-21,29.74,50,Cisco Systems,Chamod Randeni,Negombo test,6.748,80.4525,4,Machinery,Tablets,"IT,Critical,Active"
Asset 0008,Tangible assets,CISCO-MODEL-00008,SN-0000000008,TAG-000008,,6357.64,EUR,5852.65,LKR,Purchase,PO-2025-7714,Purchase details for Asset 0008,"{""name"":""Tech Solutions Inc"",""email"":""contact@techsolutions.com"",""type"":""Company""}",862.72,4 years,Time based,2027-10-26,Days,37089,INS000008,2027-06-16,4,Day,1373.73,Straightline,2024-01-16,19.14,32,Apple Inc.,ffd,Negombo test,6.7283,79.5773,4,IT Equipment,Laptops,"Network,High Priority,Maintenance"
Asset 0009,Operating assets,DELL-MODEL-00009,SN-0000000009,TAG-000009,,3270.92,EUR,3096.99,GBP,Rent,PO-2025-5691,Purchase details for Asset 0009,"{""name"":""Dell Direct"",""email"":""sales@dell.com"",""type"":""Company""}",374.95,2 years,Time based,2027-09-27,Days,8184,INS000009,2027-06-12,5,Day,579.19,Straightline,2025-11-25,16.92,44,Cisco Systems,ffd,Negombo test,7.3872,79.7554,2,Electronics,Printers,"Software,Low Priority,Standby"
Asset 0010,Intangible assets,DELL-MODEL-00010,SN-0000000010,TAG-000010,,6568.45,USD,5879.39,USD,Lease,PO-2025-3274,Purchase details for Asset 0010,"{""name"":""Lenovo Enterprise"",""email"":""business@lenovo.com"",""type"":""Company""}",954.0,1 years,Usage based,2027-08-19,Kilometers,33891,INS000010,2026-08-12,13,Year,431.88,Units of Production,2024-01-05,28.57,87,Apple Inc.,Chamod Randeni,Negombo test,6.6597,79.822,3,IT Equipment,Laptops,"IT,Critical,Active"
