name,asset_category_name ,description,reading_parameters
Investment Securities Category 1,Network Equipment,"Financial assets including stocks, bonds, and mutual funds","{""market_value"": {""unit"": ""USD"", ""range"": ""1000 to 100000""}, ""risk_level"": {""unit"": ""category"", ""values"": [""Low"", ""Medium"", ""High""]}}"
Vehicles Category 2,Network Equipment,Company vehicles for transportation and business operations,"{""fuel_efficiency"": {""unit"": ""km/l"", ""range"": ""8 to 25""}, ""maintenance_interval"": {""unit"": ""km"", ""value"": ""10000""}}"
Electronics Category 3,Network Equipment,Electronic devices including computers and peripherals,"{""battery"": {""unit"": ""hours"", ""range"": ""4 to 12""}, ""temperature"": {""unit"": ""celsius"", ""range"": ""0 to 50""}}"
Software Licenses Category 4,Network Equipment,Software licenses for computers and servers,"{""concurrent_users"": {""unit"": ""count"", ""tracking"": ""license_server""}, ""version"": {""format"": ""semantic_version""}}"
Investment Securities Category 5,Network Equipment,"Financial assets including stocks, bonds, and mutual funds","{""market_value"": {""unit"": ""USD"", ""range"": ""1000 to 100000""}, ""risk_level"": {""unit"": ""category"", ""values"": [""Low"", ""Medium"", ""High""]}}"
Vehicles Category 6,Network Equipment,Company vehicles for transportation and business operations,"{""fuel_efficiency"": {""unit"": ""km/l"", ""range"": ""8 to 25""}, ""maintenance_interval"": {""unit"": ""km"", ""value"": ""10000""}}"
Electronics Category 7,Network Equipment,Electronic devices including computers and peripherals,"{""battery"": {""unit"": ""hours"", ""range"": ""4 to 12""}, ""temperature"": {""unit"": ""celsius"", ""range"": ""0 to 50""}}"
Software Licenses Category 8,Network Equipment,Software licenses for computers and servers,"{""concurrent_users"": {""unit"": ""count"", ""tracking"": ""license_server""}, ""version"": {""format"": ""semantic_version""}}"
Investment Securities Category 9,Network Equipment,"Financial assets including stocks, bonds, and mutual funds","{""market_value"": {""unit"": ""USD"", ""range"": ""1000 to 100000""}, ""risk_level"": {""unit"": ""category"", ""values"": [""Low"", ""Medium"", ""High""]}}"
Vehicles Category 10,Network Equipment,Company vehicles for transportation and business operations,"{""fuel_efficiency"": {""unit"": ""km/l"", ""range"": ""8 to 25""}, ""maintenance_interval"": {""unit"": ""km"", ""value"": ""10000""}}"
Electronics Category 11,Network Equipment,Electronic devices including computers and peripherals,"{""battery"": {""unit"": ""hours"", ""range"": ""4 to 12""}, ""temperature"": {""unit"": ""celsius"", ""range"": ""0 to 50""}}"
Software Licenses Category 12,Network Equipment,Software licenses for computers and servers,"{""concurrent_users"": {""unit"": ""count"", ""tracking"": ""license_server""}, ""version"": {""format"": ""semantic_version""}}"
Investment Securities Category 13,Network Equipment,"Financial assets including stocks, bonds, and mutual funds","{""market_value"": {""unit"": ""USD"", ""range"": ""1000 to 100000""}, ""risk_level"": {""unit"": ""category"", ""values"": [""Low"", ""Medium"", ""High""]}}"
Vehicles Category 14,Network Equipment,Company vehicles for transportation and business operations,"{""fuel_efficiency"": {""unit"": ""km/l"", ""range"": ""8 to 25""}, ""maintenance_interval"": {""unit"": ""km"", ""value"": ""10000""}}"
Electronics Category 15,Network Equipment,Electronic devices including computers and peripherals,"{""battery"": {""unit"": ""hours"", ""range"": ""4 to 12""}, ""temperature"": {""unit"": ""celsius"", ""range"": ""0 to 50""}}"
Software Licenses Category 16,Network Equipment,Software licenses for computers and servers,"{""concurrent_users"": {""unit"": ""count"", ""tracking"": ""license_server""}, ""version"": {""format"": ""semantic_version""}}"
Investment Securities Category 17,Network Equipment,"Financial assets including stocks, bonds, and mutual funds","{""market_value"": {""unit"": ""USD"", ""range"": ""1000 to 100000""}, ""risk_level"": {""unit"": ""category"", ""values"": [""Low"", ""Medium"", ""High""]}}"
Vehicles Category 18,Network Equipment,Company vehicles for transportation and business operations,"{""fuel_efficiency"": {""unit"": ""km/l"", ""range"": ""8 to 25""}, ""maintenance_interval"": {""unit"": ""km"", ""value"": ""10000""}}"
Electronics Category 19,Network Equipment,Electronic devices including computers and peripherals,"{""battery"": {""unit"": ""hours"", ""range"": ""4 to 12""}, ""temperature"": {""unit"": ""celsius"", ""range"": ""0 to 50""}}"
Software Licenses Category 20,Network Equipment,Software licenses for computers and servers,"{""concurrent_users"": {""unit"": ""count"", ""tracking"": ""license_server""}, ""version"": {""format"": ""semantic_version""}}"
Investment Securities Category 21,Network Equipment,"Financial assets including stocks, bonds, and mutual funds","{""market_value"": {""unit"": ""USD"", ""range"": ""1000 to 100000""}, ""risk_level"": {""unit"": ""category"", ""values"": [""Low"", ""Medium"", ""High""]}}"
Vehicles Category 22,Network Equipment,Company vehicles for transportation and business operations,"{""fuel_efficiency"": {""unit"": ""km/l"", ""range"": ""8 to 25""}, ""maintenance_interval"": {""unit"": ""km"", ""value"": ""10000""}}"
Electronics Category 23,Network Equipment,Electronic devices including computers and peripherals,"{""battery"": {""unit"": ""hours"", ""range"": ""4 to 12""}, ""temperature"": {""unit"": ""celsius"", ""range"": ""0 to 50""}}"
Software Licenses Category 24,Network Equipment,Software licenses for computers and servers,"{""concurrent_users"": {""unit"": ""count"", ""tracking"": ""license_server""}, ""version"": {""format"": ""semantic_version""}}"
Investment Securities Category 25,Network Equipment,"Financial assets including stocks, bonds, and mutual funds","{""market_value"": {""unit"": ""USD"", ""range"": ""1000 to 100000""}, ""risk_level"": {""unit"": ""category"", ""values"": [""Low"", ""Medium"", ""High""]}}"
Vehicles Category 26,Network Equipment,Company vehicles for transportation and business operations,"{""fuel_efficiency"": {""unit"": ""km/l"", ""range"": ""8 to 25""}, ""maintenance_interval"": {""unit"": ""km"", ""value"": ""10000""}}"
Electronics Category 27,Network Equipment,Electronic devices including computers and peripherals,"{""battery"": {""unit"": ""hours"", ""range"": ""4 to 12""}, ""temperature"": {""unit"": ""celsius"", ""range"": ""0 to 50""}}"
Software Licenses Category 28,Network Equipment,Software licenses for computers and servers,"{""concurrent_users"": {""unit"": ""count"", ""tracking"": ""license_server""}, ""version"": {""format"": ""semantic_version""}}"
Investment Securities Category 29,Network Equipment,"Financial assets including stocks, bonds, and mutual funds","{""market_value"": {""unit"": ""USD"", ""range"": ""1000 to 100000""}, ""risk_level"": {""unit"": ""category"", ""values"": [""Low"", ""Medium"", ""High""]}}"
Vehicles Category 30,Network Equipment,Company vehicles for transportation and business operations,"{""fuel_efficiency"": {""unit"": ""km/l"", ""range"": ""8 to 25""}, ""maintenance_interval"": {""unit"": ""km"", ""value"": ""10000""}}"
Electronics Category 31,Network Equipment,Electronic devices including computers and peripherals,"{""battery"": {""unit"": ""hours"", ""range"": ""4 to 12""}, ""temperature"": {""unit"": ""celsius"", ""range"": ""0 to 50""}}"
Software Licenses Category 32,Network Equipment,Software licenses for computers and servers,"{""concurrent_users"": {""unit"": ""count"", ""tracking"": ""license_server""}, ""version"": {""format"": ""semantic_version""}}"
Investment Securities Category 33,Network Equipment,"Financial assets including stocks, bonds, and mutual funds","{""market_value"": {""unit"": ""USD"", ""range"": ""1000 to 100000""}, ""risk_level"": {""unit"": ""category"", ""values"": [""Low"", ""Medium"", ""High""]}}"
Vehicles Category 34,Network Equipment,Company vehicles for transportation and business operations,"{""fuel_efficiency"": {""unit"": ""km/l"", ""range"": ""8 to 25""}, ""maintenance_interval"": {""unit"": ""km"", ""value"": ""10000""}}"
Electronics Category 35,Network Equipment,Electronic devices including computers and peripherals,"{""battery"": {""unit"": ""hours"", ""range"": ""4 to 12""}, ""temperature"": {""unit"": ""celsius"", ""range"": ""0 to 50""}}"
Software Licenses Category 36,Network Equipment,Software licenses for computers and servers,"{""concurrent_users"": {""unit"": ""count"", ""tracking"": ""license_server""}, ""version"": {""format"": ""semantic_version""}}"
Investment Securities Category 37,Network Equipment,"Financial assets including stocks, bonds, and mutual funds","{""market_value"": {""unit"": ""USD"", ""range"": ""1000 to 100000""}, ""risk_level"": {""unit"": ""category"", ""values"": [""Low"", ""Medium"", ""High""]}}"
Vehicles Category 38,Network Equipment,Company vehicles for transportation and business operations,"{""fuel_efficiency"": {""unit"": ""km/l"", ""range"": ""8 to 25""}, ""maintenance_interval"": {""unit"": ""km"", ""value"": ""10000""}}"
Electronics Category 39,Network Equipment,Electronic devices including computers and peripherals,"{""battery"": {""unit"": ""hours"", ""range"": ""4 to 12""}, ""temperature"": {""unit"": ""celsius"", ""range"": ""0 to 50""}}"
Software Licenses Category 40,Network Equipment,Software licenses for computers and servers,"{""concurrent_users"": {""unit"": ""count"", ""tracking"": ""license_server""}, ""version"": {""format"": ""semantic_version""}}"
