name,asset_category_name,description,is_active
Sub Category 1,Category 1,Description for sub category 1,1
Sub Category 2,Category 2,Description for sub category 2,1
Sub Category 3,Category 3,Description for sub category 3,1
Sub Category 4,Category 4,Description for sub category 4,1
Sub Category 5,Category 5,Description for sub category 5,1
Sub Category 6,Category 6,Description for sub category 6,1
Sub Category 7,Category 7,Description for sub category 7,1
Sub Category 8,Category 8,Description for sub category 8,1
Sub Category 9,Category 9,Description for sub category 9,1
Sub Category 10,Category 10,Description for sub category 10,1
Sub Category 11,Category 11,Description for sub category 11,1
Sub Category 12,Category 12,Description for sub category 12,1
Sub Category 13,Category 13,Description for sub category 13,1
Sub Category 14,Category 14,Description for sub category 14,1
Sub Category 15,Category 15,Description for sub category 15,1
Sub Category 16,Category 16,Description for sub category 16,1
Sub Category 17,Category 17,Description for sub category 17,1
Sub Category 18,Category 18,Description for sub category 18,1
Sub Category 19,Category 19,Description for sub category 19,1
Sub Category 20,Category 20,Description for sub category 20,1
Sub Category 21,Category 21,Description for sub category 21,1
Sub Category 22,Category 22,Description for sub category 22,1
Sub Category 23,Category 23,Description for sub category 23,1
Sub Category 24,Category 24,Description for sub category 24,1
Sub Category 25,Category 25,Description for sub category 25,1
Sub Category 26,Category 26,Description for sub category 26,1
Sub Category 27,Category 27,Description for sub category 27,1
Sub Category 28,Category 28,Description for sub category 28,1
Sub Category 29,Category 29,Description for sub category 29,1
Sub Category 30,Category 30,Description for sub category 30,1
Sub Category 31,Category 31,Description for sub category 31,1
Sub Category 32,Category 32,Description for sub category 32,1
Sub Category 33,Category 33,Description for sub category 33,1
Sub Category 34,Category 34,Description for sub category 34,1
Sub Category 35,Category 35,Description for sub category 35,1
Sub Category 36,Category 36,Description for sub category 36,1
Sub Category 37,Category 37,Description for sub category 37,1
Sub Category 38,Category 38,Description for sub category 38,1
Sub Category 39,Category 39,Description for sub category 39,1
Sub Category 40,Category 40,Description for sub category 40,1
Sub Category 41,Category 41,Description for sub category 41,1
Sub Category 42,Category 42,Description for sub category 42,1
Sub Category 43,Category 43,Description for sub category 43,1
Sub Category 44,Category 44,Description for sub category 44,1
Sub Category 45,Category 45,Description for sub category 45,1
Sub Category 46,Category 46,Description for sub category 46,1
Sub Category 47,Category 47,Description for sub category 47,1
Sub Category 48,Category 48,Description for sub category 48,1
Sub Category 49,Category 49,Description for sub category 49,1
Sub Category 50,Category 50,Description for sub category 50,1
Sub Category 51,Category 51,Description for sub category 51,1
Sub Category 52,Category 52,Description for sub category 52,1
Sub Category 53,Category 53,Description for sub category 53,1
Sub Category 54,Category 54,Description for sub category 54,1
Sub Category 55,Category 55,Description for sub category 55,1
Sub Category 56,Category 56,Description for sub category 56,1
Sub Category 57,Category 57,Description for sub category 57,1
Sub Category 58,Category 58,Description for sub category 58,1
Sub Category 59,Category 59,Description for sub category 59,1
Sub Category 60,Category 60,Description for sub category 60,1
Sub Category 61,Category 61,Description for sub category 61,1
Sub Category 62,Category 62,Description for sub category 62,1
Sub Category 63,Category 63,Description for sub category 63,1
Sub Category 64,Category 64,Description for sub category 64,1
Sub Category 65,Category 65,Description for sub category 65,1
Sub Category 66,Category 66,Description for sub category 66,1
Sub Category 67,Category 67,Description for sub category 67,1
Sub Category 68,Category 68,Description for sub category 68,1
Sub Category 69,Category 69,Description for sub category 69,1
Sub Category 70,Category 70,Description for sub category 70,1
Sub Category 71,Category 71,Description for sub category 71,1
Sub Category 72,Category 72,Description for sub category 72,1
Sub Category 73,Category 73,Description for sub category 73,1
Sub Category 74,Category 74,Description for sub category 74,1
Sub Category 75,Category 75,Description for sub category 75,1
Sub Category 76,Category 76,Description for sub category 76,1
Sub Category 77,Category 77,Description for sub category 77,1
Sub Category 78,Category 78,Description for sub category 78,1
Sub Category 79,Category 79,Description for sub category 79,1
Sub Category 80,Category 80,Description for sub category 80,1
Sub Category 81,Category 81,Description for sub category 81,1
Sub Category 82,Category 82,Description for sub category 82,1
Sub Category 83,Category 83,Description for sub category 83,1
Sub Category 84,Category 84,Description for sub category 84,1
Sub Category 85,Category 85,Description for sub category 85,1
Sub Category 86,Category 86,Description for sub category 86,1
Sub Category 87,Category 87,Description for sub category 87,1
Sub Category 88,Category 88,Description for sub category 88,1
Sub Category 89,Category 89,Description for sub category 89,1
Sub Category 90,Category 90,Description for sub category 90,1
Sub Category 91,Category 91,Description for sub category 91,1
Sub Category 92,Category 92,Description for sub category 92,1
Sub Category 93,Category 93,Description for sub category 93,1
Sub Category 94,Category 94,Description for sub category 94,1
Sub Category 95,Category 95,Description for sub category 95,1
Sub Category 96,Category 96,Description for sub category 96,1
Sub Category 97,Category 97,Description for sub category 97,1
Sub Category 98,Category 98,Description for sub category 98,1
Sub Category 99,Category 99,Description for sub category 99,1
Sub Category 100,Category 100,Description for sub category 100,1
Sub Category 101,Category 1,Description for sub category 101,1
Sub Category 102,Category 2,Description for sub category 102,1
Sub Category 103,Category 3,Description for sub category 103,1
Sub Category 104,Category 4,Description for sub category 104,1
Sub Category 105,Category 5,Description for sub category 105,1
Sub Category 106,Category 6,Description for sub category 106,1
Sub Category 107,Category 7,Description for sub category 107,1
Sub Category 108,Category 8,Description for sub category 108,1
Sub Category 109,Category 9,Description for sub category 109,1
Sub Category 110,Category 10,Description for sub category 110,1
Sub Category 111,Category 11,Description for sub category 111,1
Sub Category 112,Category 12,Description for sub category 112,1
Sub Category 113,Category 13,Description for sub category 113,1
Sub Category 114,Category 14,Description for sub category 114,1
Sub Category 115,Category 15,Description for sub category 115,1
Sub Category 116,Category 16,Description for sub category 116,1
Sub Category 117,Category 17,Description for sub category 117,1
Sub Category 118,Category 18,Description for sub category 118,1
Sub Category 119,Category 19,Description for sub category 119,1
Sub Category 120,Category 20,Description for sub category 120,1
Sub Category 121,Category 21,Description for sub category 121,1
Sub Category 122,Category 22,Description for sub category 122,1
Sub Category 123,Category 23,Description for sub category 123,1
Sub Category 124,Category 24,Description for sub category 124,1
Sub Category 125,Category 25,Description for sub category 125,1
Sub Category 126,Category 26,Description for sub category 126,1
Sub Category 127,Category 27,Description for sub category 127,1
Sub Category 128,Category 28,Description for sub category 128,1
Sub Category 129,Category 29,Description for sub category 129,1
Sub Category 130,Category 30,Description for sub category 130,1
Sub Category 131,Category 31,Description for sub category 131,1
Sub Category 132,Category 32,Description for sub category 132,1
Sub Category 133,Category 33,Description for sub category 133,1
Sub Category 134,Category 34,Description for sub category 134,1
Sub Category 135,Category 35,Description for sub category 135,1
Sub Category 136,Category 36,Description for sub category 136,1
Sub Category 137,Category 37,Description for sub category 137,1
Sub Category 138,Category 38,Description for sub category 138,1
Sub Category 139,Category 39,Description for sub category 139,1
Sub Category 140,Category 40,Description for sub category 140,1
Sub Category 141,Category 41,Description for sub category 141,1
Sub Category 142,Category 42,Description for sub category 142,1
Sub Category 143,Category 43,Description for sub category 143,1
Sub Category 144,Category 44,Description for sub category 144,1
Sub Category 145,Category 45,Description for sub category 145,1
Sub Category 146,Category 46,Description for sub category 146,1
Sub Category 147,Category 47,Description for sub category 147,1
Sub Category 148,Category 48,Description for sub category 148,1
Sub Category 149,Category 49,Description for sub category 149,1
Sub Category 150,Category 50,Description for sub category 150,1
Sub Category 151,Category 51,Description for sub category 151,1
Sub Category 152,Category 52,Description for sub category 152,1
Sub Category 153,Category 53,Description for sub category 153,1
Sub Category 154,Category 54,Description for sub category 154,1
Sub Category 155,Category 55,Description for sub category 155,1
Sub Category 156,Category 56,Description for sub category 156,1
Sub Category 157,Category 57,Description for sub category 157,1
Sub Category 158,Category 58,Description for sub category 158,1
Sub Category 159,Category 59,Description for sub category 159,1
Sub Category 160,Category 60,Description for sub category 160,1
Sub Category 161,Category 61,Description for sub category 161,1
Sub Category 162,Category 62,Description for sub category 162,1
Sub Category 163,Category 63,Description for sub category 163,1
Sub Category 164,Category 64,Description for sub category 164,1
Sub Category 165,Category 65,Description for sub category 165,1
Sub Category 166,Category 66,Description for sub category 166,1
Sub Category 167,Category 67,Description for sub category 167,1
Sub Category 168,Category 68,Description for sub category 168,1
Sub Category 169,Category 69,Description for sub category 169,1
Sub Category 170,Category 70,Description for sub category 170,1
Sub Category 171,Category 71,Description for sub category 171,1
Sub Category 172,Category 72,Description for sub category 172,1
Sub Category 173,Category 73,Description for sub category 173,1
Sub Category 174,Category 74,Description for sub category 174,1
Sub Category 175,Category 75,Description for sub category 175,1
Sub Category 176,Category 76,Description for sub category 176,1
Sub Category 177,Category 77,Description for sub category 177,1
Sub Category 178,Category 78,Description for sub category 178,1
Sub Category 179,Category 79,Description for sub category 179,1
Sub Category 180,Category 80,Description for sub category 180,1
Sub Category 181,Category 81,Description for sub category 181,1
Sub Category 182,Category 82,Description for sub category 182,1
Sub Category 183,Category 83,Description for sub category 183,1
Sub Category 184,Category 84,Description for sub category 184,1
Sub Category 185,Category 85,Description for sub category 185,1
Sub Category 186,Category 86,Description for sub category 186,1
Sub Category 187,Category 87,Description for sub category 187,1
Sub Category 188,Category 88,Description for sub category 188,1
Sub Category 189,Category 89,Description for sub category 189,1
Sub Category 190,Category 90,Description for sub category 190,1
Sub Category 191,Category 91,Description for sub category 191,1
Sub Category 192,Category 92,Description for sub category 192,1
Sub Category 193,Category 93,Description for sub category 193,1
Sub Category 194,Category 94,Description for sub category 194,1
Sub Category 195,Category 95,Description for sub category 195,1
Sub Category 196,Category 96,Description for sub category 196,1
Sub Category 197,Category 97,Description for sub category 197,1
Sub Category 198,Category 98,Description for sub category 198,1
Sub Category 199,Category 99,Description for sub category 199,1
Sub Category 200,Category 100,Description for sub category 200,1
Sub Category 201,Category 1,Description for sub category 201,1
Sub Category 202,Category 2,Description for sub category 202,1
Sub Category 203,Category 3,Description for sub category 203,1
Sub Category 204,Category 4,Description for sub category 204,1
Sub Category 205,Category 5,Description for sub category 205,1
Sub Category 206,Category 6,Description for sub category 206,1
Sub Category 207,Category 7,Description for sub category 207,1
Sub Category 208,Category 8,Description for sub category 208,1
Sub Category 209,Category 9,Description for sub category 209,1
Sub Category 210,Category 10,Description for sub category 210,1
Sub Category 211,Category 11,Description for sub category 211,1
Sub Category 212,Category 12,Description for sub category 212,1
Sub Category 213,Category 13,Description for sub category 213,1
Sub Category 214,Category 14,Description for sub category 214,1
Sub Category 215,Category 15,Description for sub category 215,1
Sub Category 216,Category 16,Description for sub category 216,1
Sub Category 217,Category 17,Description for sub category 217,1
Sub Category 218,Category 18,Description for sub category 218,1
Sub Category 219,Category 19,Description for sub category 219,1
Sub Category 220,Category 20,Description for sub category 220,1
Sub Category 221,Category 21,Description for sub category 221,1
Sub Category 222,Category 22,Description for sub category 222,1
Sub Category 223,Category 23,Description for sub category 223,1
Sub Category 224,Category 24,Description for sub category 224,1
Sub Category 225,Category 25,Description for sub category 225,1
Sub Category 226,Category 26,Description for sub category 226,1
Sub Category 227,Category 27,Description for sub category 227,1
Sub Category 228,Category 28,Description for sub category 228,1
Sub Category 229,Category 29,Description for sub category 229,1
Sub Category 230,Category 30,Description for sub category 230,1
Sub Category 231,Category 31,Description for sub category 231,1
Sub Category 232,Category 32,Description for sub category 232,1
Sub Category 233,Category 33,Description for sub category 233,1
Sub Category 234,Category 34,Description for sub category 234,1
Sub Category 235,Category 35,Description for sub category 235,1
Sub Category 236,Category 36,Description for sub category 236,1
Sub Category 237,Category 37,Description for sub category 237,1
Sub Category 238,Category 38,Description for sub category 238,1
Sub Category 239,Category 39,Description for sub category 239,1
Sub Category 240,Category 40,Description for sub category 240,1
Sub Category 241,Category 41,Description for sub category 241,1
Sub Category 242,Category 42,Description for sub category 242,1
Sub Category 243,Category 43,Description for sub category 243,1
Sub Category 244,Category 44,Description for sub category 244,1
Sub Category 245,Category 45,Description for sub category 245,1
