name,asset_type_name,category_name,sub_category_name,asset_description,asset_details
Asset 00001,Non-operating assets,IT Equipment,Servers,"Description for Asset 00001, Non-operating assets in IT Equipment category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Warranty Info""}, {""details"": ""Energy efficient model"", ""detailtype"": ""Configuration""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Installation""}]"
Asset 00002,Fixed assets,Electronics,Monitors,"Description for Asset 00002, Fixed assets in Electronics category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Configuration""}, {""details"": ""Compatible with existing infrastructure"", ""detailtype"": ""Warranty Info""}, {""details"": ""Extended warranty coverage included"", ""detailtype"": ""Configuration""}]"
Asset 00003,Tangible assets,Machinery,Desktops,"Description for Asset 00003, Tangible assets in Machinery category","[{""details"": ""Energy efficient model"", ""detailtype"": ""Installation""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Configuration""}]"
Asset 00004,Tangible assets,IT Equipment,Switches,"Description for Asset 00004, Tangible assets in IT Equipment category","[{""details"": ""Standard configuration with all required components"", ""detailtype"": ""Specification""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Specification""}]"
Asset 00005,Intangible assets,Furniture,Desktops,"Description for Asset 00005, Intangible assets in Furniture category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Installation""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Configuration""}]"
Asset 00006,Operating assets,Vehicles,Phones,"Description for Asset 00006, Operating assets in Vehicles category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Configuration""}, {""details"": ""Compliant with industry standards"", ""detailtype"": ""License""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Specification""}]"
Asset 00007,Tangible assets,Software,Routers,"Description for Asset 00007, Tangible assets in Software category","[{""details"": ""Optimized for performance"", ""detailtype"": ""Configuration""}, {""details"": ""Certified by manufacturer"", ""detailtype"": ""Installation""}, {""details"": ""Professional installation and setup completed"", ""detailtype"": ""Configuration""}]"
Asset 00008,Tangible assets,Software,Laptops,"Description for Asset 00008, Tangible assets in Software category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""License""}]"
Asset 00009,Intangible assets,Machinery,Servers,"Description for Asset 00009, Intangible assets in Machinery category","[{""details"": ""Professional installation and setup completed"", ""detailtype"": ""Specification""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Warranty Info""}, {""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Maintenance""}]"
Asset 00010,Fixed assets,Furniture,Monitors,"Description for Asset 00010, Fixed assets in Furniture category","[{""details"": ""Regular maintenance schedule established"", ""detailtype"": ""Specification""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Maintenance""}, {""details"": ""Licensed for enterprise use"", ""detailtype"": ""Warranty Info""}]"
