item_name,item_description,category_name,item_category_type_name,type_name,unit_of_measure_name,purchase_price,purchase_price_currency_code,selling_price,selling_price_currency_code,max_inventory_level,min_inventory_level,re_order_level,low_stock_alert,over_stock_alert
Item 0001,Description for Item 0001,Laboratory Equipment,Spare Parts,Digital,Piece,178.5,GBP,416.92,USD,1838,184,1331,True,True
Item 0002,Description for Item 0002,Manufacturing Parts,Consumables,Digital,Liter,872.56,GBP,1695.93,USD,1863,89,209,False,True
Item 0003,Description for Item 0003,Office Supplies,Consumables,Non-Perishable,Piece,521.14,EUR,1176.12,GBP,785,199,340,True,True
Item 0004,Description for Item 0004,Tools,Spare Parts,Digital,Liter,148.7,LKR,258.28,USD,1164,86,122,False,False
Item 0005,Description for Item 0005,Safety Equipment,Spare Parts,Perishable,Liter,683.51,LKR,1231.37,LKR,934,70,321,False,False
Item 0006,Description for Item 0006,Medical Supplies,Consumables,Digital,Meter,60.06,GBP,88.77,EUR,1351,114,147,True,True
Item 0007,Description for Item 0007,Manufacturing Parts,Spare Parts,Non-Perishable,Piece,609.46,LKR,1310.22,LKR,871,57,762,True,False
Item 0008,Description for Item 0008,Electronics,Spare Parts,Digital,Piece,302.25,USD,732.19,EUR,1385,156,194,True,False
Item 0009,Description for Item 0009,Medical Supplies,Spare Parts,Perishable,Meter,304.57,GBP,414.45,LKR,1989,53,1809,False,False
Item 0010,Description for Item 0010,Electronics,Consumables,Digital,Piece,960.65,GBP,1446.1,GBP,1618,99,772,True,True
Item 0011,Description for Item 0011,IT Equipment,Spare Parts,Perishable,Meter,725.12,EUR,1332.15,LKR,1116,55,340,False,False
Item 0012,Description for Item 0012,Safety Equipment,Consumables,Non-Perishable,Liter,416.33,USD,891.18,EUR,1439,190,201,True,False
Item 0013,Description for Item 0013,Furniture,Spare Parts,Digital,Kilogram,98.43,USD,242.9,GBP,1586,200,515,False,True
Item 0014,Description for Item 0014,Laboratory Equipment,Consumables,Non-Perishable,Liter,774.76,GBP,1073.2,EUR,1674,66,686,True,False
Item 0015,Description for Item 0015,Office Supplies,Consumables,Perishable,Piece,500.15,LKR,1154.72,EUR,651,130,190,True,False
Item 0016,Description for Item 0016,Electronics,Spare Parts,Perishable,Kilogram,87.0,USD,109.56,GBP,1853,145,205,False,True
